0	1	2	3	4	5	6	7	8	9	10	11	12	x	CL	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
31	0	0	0	0	0	0	134.5583333	0	0	195.918	114.2458571	0	x	61	0	0	0	0	0	0	157.4542	0	0	182.4434286	129.2402143	0
31.999	0	0	0	0	0	0	134.5583333	0	0	195.918	114.2458571	0	x	62	0	0	0	0	0	0	154.959475	0	0	181.9595714	129.5992857	0
32	0	0	0	0	0	0	132.0295385	0	0	0	114.9297143	0	x	63	0	0	0	0	0	0	152.46475	0	0	181.4757143	129.9583571	0
32.999	0	0	0	0	0	0	132.0295385	0	0	0	114.9297143	0	x	64	0	0	0	0	0	0	149.970025	0	0	180.9918571	130.3174286	0
33	0	0	0	0	0	0	129.5007436	0	0	0	115.6135714	0	x	65	0	0	0	0	0	0	147.4753	0	0	180.508	130.6765	0
33.999	0	0	0	0	0	0	129.5007436	0	0	0	115.6135714	0	x	66	0	0	0	0	0	0	144.980575	0	0	180.0241429	131.0355714	0
34	0	0	0	0	0	0	126.9719487	0	0	207.744	116.2974286	0	x	67	0	55.446	101.947	0	0	0	142.48585	0	0	179.5402857	131.3946429	0
34.999	0	0	0	0	0	0	126.9719487	0	0	207.744	116.2974286	0	x	68	0	0	0	0	0	0	139.991125	0	0	179.0564286	131.7537143	0
35	0	0	0	0	0	0	0	0	0	211.686	0	0	x	69	0	0	0	0	0	0	137.4964	0	0	178.5725714	132.1127857	0
35.999	0	0	0	0	0	0	0	0	0	211.686	0	0	x	70	0	0	0	0	0	0	135.001675	0	0	178.0887143	132.4718571	0
36	0	0	0	0	0	0	0	0	0	215.628	0	0	x	71	0	0	0	0	0	0	132.50695	0	0	177.6048571	132.8309286	0
36.999	0	0	0	0	0	0	0	0	0	215.628	0	0	x	72	0	0	0	0	0	0	130.012225	0	0	177.121	133.19	0
37	0	0	0	0	0	0	119.3855641	0	0	219.57	118.349	0	x	73	0	0	0	0	0	0	127.5175	0	0	178.6413571	130.3215714	0
37.999	0	0	0	0	0	0	119.3855641	0	0	219.57	118.349	0	x	74	0	55.446	101.947	0	0	0	125.022775	0	0	180.1617143	127.4531429	0
38	0	0	0	0	0	0	116.8567692	0	0	223.512	119.0328571	0	x	75	0	0	0	0	0	0	122.52805	0	0	181.6820714	124.5847143	0
38.999	0	0	0	0	0	0	116.8567692	0	0	223.512	119.0328571	0	x	76	0	0	0	0	0	0	120.033325	0	0	183.2024286	121.7162857	0
39	0	0	0	0	0	0	0	0	0	227.454	0	0	x	77	0	0	0	0	0	0	117.5386	0	0	184.7227857	118.8478571	0
39.999	0	0	0	0	0	0	0	0	0	227.454	0	0	x	78	0	0	0	0	0	0	115.043875	0	0	186.2431429	115.9794286	0
