0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
34	0	0	0	0	0	0	85.30121591	0	0	87.59371429	57.10834091	0	x	67	0	83.02	80.204	0	0	0	59.11084091	0	0	58.9025	44.13859091	0
34.999	0	0	0	0	0	0	85.30121591	0	0	87.59371429	57.10834091	0	x	68	0	0	0	0	0	0	58.31719318	0	0	58.644	43.74556818	0
35	0	0	0	0	0	0	0	0	0	89.45764286	0	0	x	69	0	0	0	0	0	0	57.52354545	0	0	58.3855	43.35254545	0
35.999	0	0	0	0	0	0	0	0	0	89.45764286	0	0	x	70	0	0	0	0	0	0	56.72989773	0	0	58.127	42.95952273	0
36	0	0	0	0	0	0	0	0	0	91.32157143	0	0	x	71	0	0	0	0	0	0	55.93625	0	0	57.8685	42.5665	0
36.999	0	0	0	0	0	0	0	0	0	91.32157143	0	0	x	72	0	0	0	0	0	0	55.14260227	0	0	57.61	42.17347727	0
37	0	0	0	0	0	0	82.92027273	0	0	93.1855	55.92927273	0	x	73	0	0	0	0	0	0	54.34895455	0	0	56.93807143	41.78045455	0
37.999	0	0	0	0	0	0	82.92027273	0	0	93.1855	55.92927273	0	x	74	0	83.02	80.204	0	0	0	53.55530682	0	0	56.26614286	41.38743182	0
38	0	0	0	0	0	0	82.126625	0	0	95.04942857	55.53625	0	x	75	0	0	0	0	0	0	52.76165909	0	0	55.59421429	40.99440909	0
38.999	0	0	0	0	0	0	82.126625	0	0	95.04942857	55.53625	0	x	76	0	0	0	0	0	0	51.96801136	0	0	54.92228571	40.60138636	0
39	0	0	0	0	0	0	0	0	0	96.91335714	0	0	x	77	0	0	0	0	0	0	51.17436364	0	0	54.25035714	40.20836364	0
