0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C				
27	0	0	0	0	0	0	0	0	0	0	0	0	0	1430537.187	0	0	0	0	0	x	******	******	2/22/1995	53	0	0	0	0	0	0	0	0	0	1468177.752	0	0	143993.2037	2833574.865	0	0	0	0	0
27.999	0	0	0	0	0	0	0	0	0	0	0	0	0	1430537.187	0	0	0	0	0	x	******	******	2/23/1995	54	0	0	0	0	0	0	0	0	0	757163.7533	0	0	64376.74233	1529550.1	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	1603583.476	0	0	0	0	0	x	******	******	2/24/1995	55	0	0	0	0	0	0	0	0	0	694343.033	0	0	90846.24316	1575301.062	0	0	0	0	0
28.999	0	0	0	0	0	0	0	0	0	0	0	0	0	1603583.476	0	0	0	0	0	x	******	******	2/25/1995	56	0	0	0	0	0	0	0	0	0	1357553.392	0	0	99441.06305	1548731.252	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	1441155.325	0	0	0	0	0	x	******	******	2/26/1995	57	0	0	0	0	0	0	0	0	0	1538712.525	0	0	158313.0104	1536963.223	0	0	0	0	0
29.999	0	0	0	0	0	0	0	0	0	0	0	0	0	1441155.325	0	0	0	0	0	x	******	******	2/27/1995	58	0	0	0	0	0	0	0	0	0	1815738.274	0	0	158264.0789	1828619.494	0	0	0	0	0
30	0	0	0	0	0	79489.23947	0	0	0	1475510.139	0	0	105545.269	2497366.454	0	0	0	0	0	x	******	******	2/28/1995	59	0	0	0	0	0	0	0	0	0	1905921.495	0	0	158985.8187	1564389.335	0	0	0	0	0
30.999	0	0	0	0	0	79489.23947	0	0	0	1475510.139	0	0	105545.269	2497366.454	0	0	0	0	0	x	******	******	3/1/1995	60	0	0	0	0	0	0	0	0	0	1815882.622	0	0	150704.1605	1260989.502	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	1247653.219	0	0	162376.7724	3252477.53	0	0	0	0	0	x	******	******	3/2/1995	61	0	0	0	0	0	0	0	0	0	1804611.248	0	0	162540.6929	1287436.984	0	0	0	0	0
31.999	0	0	0	0	0	0	0	0	0	1247653.219	0	0	162376.7724	3252477.53	0	0	0	0	0	x	******	******	3/3/1995	62	0	0	0	0	0	0	0	0	0	1773344.013	0	0	233762.9537	1222994.184	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	567713.1759	0	0	0	1615669.559	0	0	0	0	0	x	******	******	3/4/1995	63	0	0	0	0	0	0	0	0	0	1464962.952	0	0	162724.1861	1030032.77	0	0	0	0	0
32.999	0	0	0	0	0	0	0	0	0	567713.1759	0	0	0	1615669.559	0	0	0	0	0	x	******	******	3/5/1995	64	0	0	0	0	0	0	0	0	0	1199866.705	0	0	222271.3883	1064186.965	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	1192548.998	0	0	0	965320.8473	0	0	0	0	0	x	******	******	3/6/1995	65	0	0	0	0	0	0	0	0	0	1317510.29	0	0	164072.2492	1006252.056	0	0	0	0	0
33.999	0	0	0	0	0	0	0	0	0	1192548.998	0	0	0	965320.8473	0	0	0	0	0	x	******	******	3/7/1995	66	0	0	0	0	0	0	0	0	0	1650760.792	0	0	165104.7041	1011414.331	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	1808963.706	0	0	155991.2102	1254652.871	0	0	0	0	0	x	******	******	3/8/1995	67	0	0	0	0	204386.9211	255495.8842	0	0	0	1793883.015	0	0	305516.1213	1897123.61	0	0	0	0	0
34.999	0	0	0	0	0	0	0	0	0	1808963.706	0	0	155991.2102	1254652.871	0	0	0	0	0	x	******	******	3/9/1995	68	0	0	0	0	0	0	0	0	0	1240810.147	0	0	258644.6269	1373947.895	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	155056.6184	0	0	0	0	0	0	x	******	******	3/10/1995	69	0	0	0	0	0	0	0	0	0	1267370.171	0	0	285532.4922	1101472.776	0	0	0	0	0
35.999	0	0	0	0	0	0	0	0	0	0	0	0	155056.6184	0	0	0	0	0	0	x	******	******	3/11/1995	70	0	0	0	0	0	0	0	0	0	1576556.156	0	0	207934.4556	1247459.939	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	78390.72705	0	0	0	0	0	0	x	******	******	3/12/1995	71	0	0	0	0	0	0	0	0	0	1404106.832	0	0	204587.5403	1207556.292	0	0	0	0	0
36.999	0	0	0	0	0	0	0	0	0	0	0	0	78390.72705	0	0	0	0	0	0	x	******	******	3/13/1995	72	0	0	0	0	0	0	0	0	0	1500276.823	0	0	259461.7832	1188252.811	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	1971736.824	0	0	49007.35475	1387991.239	0	0	0	0	0	x	******	******	3/14/1995	73	0	0	0	0	0	0	0	0	0	1416611.279	0	0	164796.4356	1319682.849	0	0	0	0	0
37.999	0	0	0	0	0	0	0	0	0	1971736.824	0	0	49007.35475	1387991.239	0	0	0	0	0	x	******	******	3/15/1995	74	0	0	0	0	204386.9211	170330.5895	0	0	0	1860632.935	0	0	165386.0603	1364993.428	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	1055141.975	0	0	32644.6575	728370.0057	0	0	0	0	0	x	******	******	3/16/1995	75	0	0	0	0	0	0	0	0	0	1533129.44	0	0	174577.8446	850454.1254	0	0	0	0	0
38.999	0	0	0	0	0	0	0	0	0	1055141.975	0	0	32644.6575	728370.0057	0	0	0	0	0	x	******	******	3/17/1995	76	0	0	0	0	0	0	0	0	0	3479179.667	0	0	112444.6121	1833121.193	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	82569.47809	0	0	0	0	0	0	x	******	******	3/18/1995	77	0	0	0	0	0	0	0	0	0	4205137.349	0	0	165743.2603	2713423.54	0	0	0	0	0
39.999	0	0	0	0	0	0	0	0	0	0	0	0	82569.47809	0	0	0	0	0	0	x	******	******	3/19/1995	78	0	0	0	0	0	0	0	0	0	2900376.164	0	0	213368.2999	1965725.588	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	1206367.256	0	0	27335.58857	1305908.629	0	0	0	0	0	x	******	******	3/20/1995	79	0	0	0	0	0	0	0	0	0	1768614.782	0	0	225339.394	1128776.559	0	0	0	0	0
