0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C
17.999	1426426.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935913.0092	1783553.573	985969.9449	0	x	******	******	2/3/1995	34	1826686.7	0	0	0	0	0	0	0	1281990.906	0	0	0	0	0	0	0	0	0	0
18	1631205.313	0	0	0	0	0	0	0	721005.8133	0	0	0	0	0	0	910688.8153	1763980.968	1389654.91	0	x	******	******	2/4/1995	35	1935412.517	0	0	0	0	0	0	0	1294957.757	0	0	0	0	0	0	0	0	0	0
18.999	1631205.313	0	0	0	0	0	0	0	721005.8133	0	0	0	0	0	0	910688.8153	1763980.968	1389654.91	0	x	******	******	2/5/1995	36	1766867.927	0	0	0	0	0	0	0	1323191.239	0	0	0	0	0	0	0	0	0	0
19	1504888.618	0	0	0	0	0	0	0	1194885.477	0	0	0	0	0	0	886492.1832	1707709.731	1759087.817	0	x	******	******	2/6/1995	37	1330545.645	0	0	0	0	0	0	0	1336816.218	0	0	0	0	0	0	0	0	0	0
19.999	1504888.618	0	0	0	0	0	0	0	1194885.477	0	0	0	0	0	0	886492.1832	1707709.731	1759087.817	0	x	******	******	2/7/1995	38	1490453.822	0	0	0	0	0	0	0	709986.437	0	0	0	0	0	0	0	0	0	0
20	1512546.4	0	0	0	0	0	0	0	1148777.315	0	0	0	0	0	0	857206.6739	1675904.249	1727282.335	0	x	******	******	2/8/1995	39	1560132.294	0	0	0	0	0	0	0	515525.2729	0	0	0	0	0	0	0	0	0	0
20.999	1512546.4	0	0	0	0	0	0	0	1148777.315	0	0	0	0	0	0	857206.6739	1675904.249	1727282.335	0	x	******	******	2/9/1995	40	1561624.705	0	0	0	0	0	0	0	395831.4575	0	0	0	0	0	0	0	0	0	0
21	1565563.692	0	0	0	0	0	0	0	1155143.304	0	0	0	0	0	0	869879.9352	1646545.342	1697923.429	0	x	******	******	2/10/1995	41	1559202.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.999	1565563.692	0	0	0	0	0	0	0	1155143.304	0	0	0	0	0	0	869879.9352	1646545.342	1697923.429	0	x	******	******	2/11/1995	42	1560548.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1561306.65	0	0	0	0	0	0	0	1173250.41	0	0	0	0	0	0	902737.4448	1612293.285	1673457.673	0	x	******	******	2/12/1995	43	1561893.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.999	1561306.65	0	0	0	0	0	0	0	1173250.41	0	0	0	0	0	0	902737.4448	1612293.285	1673457.673	0	x	******	******	2/13/1995	44	1561600.239	0	0	0	0	0	0	0	966622.4254	0	0	0	0	0	0	0	0	0	0
23	1557685.718	0	0	0	0	0	0	0	1178207.172	0	0	0	0	0	0	868020.5378	1597613.831	1634312.464	0	x	******	******	2/14/1995	45	1519983.989	0	0	0	0	0	0	0	596068.9865	0	0	0	0	0	0	0	0	0	0
23.999	1557685.718	0	0	0	0	0	0	0	1178207.172	0	0	0	0	0	0	868020.5378	1597613.831	1634312.464	0	x	******	******	2/15/1995	46	1536522.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1523335.798	0	0	0	0	0	0	0	1153540.797	0	0	0	0	0	0	822612.0957	883213.7719	878320.6209	0	x	******	******	2/16/1995	47	1727820.582	0	0	0	0	0	0	0	534745.5704	0	0	0	0	0	0	0	0	0	0
24.999	1523335.798	0	0	0	0	0	0	0	1153540.797	0	0	0	0	0	0	822612.0957	883213.7719	878320.6209	0	x	******	******	2/17/1995	48	1693177.072	0	0	0	0	0	0	0	835449.2776	0	0	0	0	0	0	0	0	0	0
25	1640771.424	0	0	0	0	0	0	0	1202768.344	0	0	0	0	0	0	370607.2636	144347.9572	0	0	x	******	******	2/18/1995	49	1381361.019	0	0	0	0	0	0	0	798745.7512	0	0	0	0	0	0	0	0	0	0
25.999	1640771.424	0	0	0	0	0	0	0	1202768.344	0	0	0	0	0	0	370607.2636	144347.9572	0	0	x	******	******	2/19/1995	50	1034216.415	0	0	0	0	0	0	0	779620.8702	0	0	0	0	0	0	0	0	0	0
26	1527103.524	0	0	0	0	0	0	0	1233602.535	0	0	0	0	0	0	0	146794.5327	0	0	x	******	******	2/20/1995	51	394387.9779	0	0	0	0	0	0	0	741307.4972	0	0	0	0	0	0	0	0	0	0
26.999	1527103.524	0	0	0	0	0	0	0	1233602.535	0	0	0	0	0	0	0	146794.5327	0	0	x	******	******	2/21/1995	52	1264806.16	0	0	0	0	0	0	0	721380.1393	0	0	0	0	0	0	0	0	0	0
27	1533538.018	0	0	0	0	0	0	0	1252825.279	0	0	0	0	0	0	0	146794.5327	0	0	x	******	******	2/22/1995	53	1389190.061	0	0	0	0	0	0	0	1110532.446	0	0	0	0	0	0	529390.0165	0	0	0
27.999	1533538.018	0	0	0	0	0	0	0	1252825.279	0	0	0	0	0	0	0	146794.5327	0	0	x	******	******	2/23/1995	54	1486955.219	0	0	0	0	0	0	0	1334660.785	0	0	0	0	0	0	1007646.604	0	0	0
28	1625406.929	0	0	0	0	0	0	0	1255773.403	0	0	0	0	0	0	0	0	0	0	x	******	******	2/24/1995	55	1495909.686	0	0	0	0	0	0	0	1297374.973	0	0	0	0	0	0	429374.0082	0	0	0
28.999	1625406.929	0	0	0	0	0	0	0	1255773.403	0	0	0	0	0	0	0	0	0	0	x	******	******	2/25/1995	56	1529036.319	0	0	0	0	0	0	0	1323665.874	0	0	0	0	0	0	0	0	0	0
29	1669567.618	0	0	0	0	0	0	0	1247366.969	0	0	0	0	0	0	0	0	0	0	x	******	******	2/26/1995	57	517744.3169	0	0	0	0	0	0	0	1329478.938	0	0	0	0	0	0	0	0	0	0
29.999	1669567.618	0	0	0	0	0	0	0	1247366.969	0	0	0	0	0	0	0	0	0	0	x	******	******	2/27/1995	58	632170.6552	0	0	0	0	0	0	0	1340160.687	0	0	0	0	0	0	0	0	0	0
30	752566.6378	0	0	0	0	0	0	0	1226108.674	0	0	0	0	0	0	0	0	0	0	x	******	******	2/28/1995	59	1121167.71	0	0	0	0	0	0	0	1324368.041	0	0	0	0	0	0	588376.9529	0	0	0
30.999	752566.6378	0	0	0	0	0	0	0	1226108.674	0	0	0	0	0	0	0	0	0	0	x	******	******	3/1/1995	60	1016747.865	0	0	0	0	0	0	0	1292405.979	0	0	0	0	0	0	1024943.893	897893.2252	0	0
31	1270824.736	0	0	0	0	0	0	0	1136329.138	0	0	0	0	0	0	0	0	0	0	x	******	******	3/2/1995	61	1159994.863	0	0	0	0	0	0	0	1310576.695	0	0	0	0	0	0	989444.0821	1754194.666	0	0
31.999	1270824.736	0	0	0	0	0	0	0	1136329.138	0	0	0	0	0	0	0	0	0	0	x	******	******	3/3/1995	62	1244719.775	0	0	0	0	0	0	0	1339832.845	0	0	0	0	0	0	968525.8612	1722389.184	0	0
32	1793927.053	0	0	0	0	0	0	0	1159410.132	0	0	0	0	0	0	0	0	0	0	x	******	******	3/4/1995	63	1385373.403	0	0	0	0	0	0	0	1345601.871	0	0	0	0	0	0	940243.4479	1690583.702	0	0
32.999	1793927.053	0	0	0	0	0	0	0	1159410.132	0	0	0	0	0	0	0	0	0	0	x	******	******	3/5/1995	64	1386058.444	0	0	0	0	0	0	0	1346519.336	0	0	0	0	0	0	919349.6928	1663671.371	0	0
33	1866883.936	0	0	0	0	0	0	0	1231985.349	0	0	0	0	0	0	0	0	0	0	x	******	******	3/6/1995	65	1381801.402	0	0	0	0	0	0	0	1341149.103	0	0	0	0	0	0	886712.375	1631865.889	0	0
33.999	1866883.936	0	0	0	0	0	0	0	1231985.349	0	0	0	0	0	0	0	0	0	0	x	******	******	3/7/1995	66	1378963.375	0	0	0	0	0	0	0	1351945.841	0	0	0	0	0	0	879543.9086	1597613.831	0	0
34	1826686.7	0	0	0	0	0	0	0	1281990.906	0	0	0	0	0	0	0	0	0	0	x	******	******	3/8/1995	67	483614.5881	0	0	0	0	0	0	0	1283184.835	0	0	0	0	0	0	903716.075	1609846.709	0	0
34.999	1826686.7	0	0	0	0	0	0	0	1281990.906	0	0	0	0	0	0	0	0	0	0	x	******	******	3/9/1995	68	856203.5779	0	0	0	0	0	0	0	288710.5938	0	0	0	0	0	0	910346.2947	1651438.493	0	0
35	1935412.517	0	0	0	0	0	0	0	1294957.757	0	0	0	0	0	0	0	0	0	0	x	******	******	3/10/1995	69	1258445.063	0	0	0	0	0	0	0	938127.1601	0	0	0	0	0	0	899140.9787	1587827.529	729079.5126	0
35.999	1935412.517	0	0	0	0	0	0	0	1294957.757	0	0	0	0	0	0	0	0	0	0	x	******	******	3/11/1995	70	1373898.963	0	0	0	0	0	0	0	1447421.005	0	0	0	0	0	0	849402.0979	1453265.874	1492411.083	0
36	1766867.927	0	0	0	0	0	0	0	1323191.239	0	0	0	0	0	0	0	0	0	0	x	******	******	3/12/1995	71	1367293.209	0	0	0	0	0	0	0	1459416.565	0	0	0	0	0	0	820972.8901	1404334.363	1433693.27	0
36.999	1766867.927	0	0	0	0	0	0	0	1323191.239	0	0	0	0	0	0	0	0	0	0	x	******	******	3/13/1995	72	1289908.025	0	0	0	0	0	0	0	1454907.526	0	0	0	0	0	0	795112.5865	655682.2462	702167.1816	0
37	1330545.645	0	0	0	0	0	0	0	1336816.218	0	0	0	0	0	0	0	0	0	0	x	******	******	3/14/1995	73	1069691.76	0	0	0	0	0	0	0	1398829.568	0	0	0	0	0	0	809376.122	0	0	0
37.999	1330545.645	0	0	0	0	0	0	0	1336816.218	0	0	0	0	0	0	0	0	0	0	x	******	******	3/15/1995	74	0	0	0	0	0	0	0	0	1392837.905	0	0	0	0	0	0	863053.9894	0	0	0
38	1490453.822	0	0	0	0	0	0	0	709986.437	0	0	0	0	0	0	0	0	0	0	x	******	******	3/16/1995	75	264205.6932	0	0	0	0	0	0	0	1385385.636	0	0	0	0	0	0	847616.0978	0	0	0
38.999	1490453.822	0	0	0	0	0	0	0	709986.437	0	0	0	0	0	0	0	0	0	0	x	******	******	3/17/1995	76	0	0	0	0	0	0	0	0	893401.3125	0	0	0	0	0	0	843481.3851	861194.592	0	0
39	1560132.294	0	0	0	0	0	0	0	515525.2729	0	0	0	0	0	0	0	0	0	0	x	******	******	3/18/1995	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865109.1129	1626972.738	0	0
39.999	1560132.294	0	0	0	0	0	0	0	515525.2729	0	0	0	0	0	0	0	0	0	0	x	******	******	3/19/1995	78	465094.0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868607.7159	1624526.162	0	0
40	1561624.705	0	0	0	0	0	0	0	395831.4575	0	0	0	0	0	0	0	0	0	0	x	******	******	3/20/1995	79	1038987.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829829.4935	1607400.133	0	0
40.999	1561624.705	0	0	0	0	0	0	0	395831.4575	0	0	0	0	0	0	0	0	0	0	x	******	******	3/21/1995	80	1655401.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801082.2309	1575594.651	0	0
41	1559202.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/22/1995	81	1866296.758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451368.7224	826942.5344	0	0
41.999	1559202.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/23/1995	82	1923644.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1560548.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/24/1995	83	1912928.488	0	0	0	0	0	0	0	400457.9319	0	0	0	0	0	0	0	0	0	0
42.999	1560548.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/25/1995	84	1584231.063	0	0	0	0	0	0	0	625462.1451	0	0	0	0	0	0	0	0	0	0
43	1561893.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/26/1995	85	1373972.361	0	0	0	0	0	0	0	643089.7219	0	0	0	0	0	0	0	0	0	0
43.999	1561893.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	3/27/1995	86	1373947.895	0	0	0	0	0	0	0	677522.8261	0	0	0	0	0	0	0	0	0	0
44	1561600.239	0	0	0	0	0	0	0	966622.4254	0	0	0	0	0	0	0	0	0	0	x	******	******	3/28/1995	87	1494931.056	0	0	0	0	0	0	0	997390.5595	0	0	0	0	0	0	0	0	0	0
44.999	1561600.239	0	0	0	0	0	0	0	966622.4254	0	0	0	0	0	0	0	0	0	0	x	******	******	3/29/1995	88	1571949.254	0	0	0	0	0	0	0	1122131.66	0	0	0	0	0	0	0	0	0	0
45	1519983.989	0	0	0	0	0	0	0	596068.9865	0	0	0	0	0	0	0	0	0	0	x	******	******	3/30/1995	89	1374119.155	0	0	0	0	0	0	0	1162864.697	0	0	0	0	0	0	179603.1108	0	0	0
45.999	1519983.989	0	0	0	0	0	0	0	596068.9865	0	0	0	0	0	0	0	0	0	0	x	******	******	3/31/1995	90	1501071.96	0	0	0	0	0	0	0	1131369.93	0	0	0	0	0	0	102046.666	0	0	0
